ID,Investors Count,Select Inverstors,Total Raised($)
UC_339,9,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",125580000.0
UC_340,24,"Google Ventures, Sequoia Capital, Wakefield Group",6920000000.0
UC_341,22,"Info Edge, Softbank Capital",633780000.0
UC_343,9,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",3900000000.0
UC_344,9,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",3900000000.0
UC_345,22,"T. Rowe Price, Dragoneer Investment Group, BlackRock",711730000.0
UC_346,9,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",483500000.0
UC_347,20,"Emergence Capital Partners, 8VC, Chicago Ventures",928800000.0
UC_348,8,"Octopus Ventures, Munich Re Ventures, CommerzVentures",477270000.0
UC_349,20,"Kibo Ventures, SoftBank Group, Atomico",1072000000.0000001
UC_350,3,"IMM Investment, NXC",486650000.0
UC_351,32,"V FUND, IDG Capital, Green Pine Capital Partners",288220000.0
UC_352,3,"Tencent Holdings, Goldman Sachs",569950000.0
UC_353,8,"Revolution, New Enterprise Associates, Caterpillar",3170000000.0
UC_354,8,"Google Ventures, Index Ventures, Scale Venture Partners",417300000.0
UC_355,4,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2075000000.0000002
UC_356,22,"Relay Ventures, TTV Capital, Canapi Ventures",556500000.0
UC_357,31,"Temasek, Google Ventures, General Catalyst",630900000.0
UC_358,6,"Summit Partners, Noshaq, Sofinnova Partners",3190000000.0
UC_359,10,"Goodwater Capital, Warburg Pincus, GS Growth",433700000.0
UC_360,9,"Global Founders Capital, Aglae Ventures, Alven Capital",420890000.0
UC_361,6,"Softbank Group, AME Cloud Ventures, SignalFire",445690000.0
UC_362,28,"Accel, Alven Capital, Storm Ventures",334340000.0
UC_363,5,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners,/td>",2770000000.0
UC_364,1,General Atlantic,0.0
UC_365,2,Sequoia Capital,286360000.0
UC_366,18,"Expa, QED Investors, Foundation Capital",383410000.0
UC_367,22,"Pantera Capital, QED Investors, Coinbase Ventures",314660000.0
UC_368,10,"General Atlantic, SoftBank Group, Atomico",529159999.99999994
UC_369,8,"Sierra Ventures, Battery Ventures, Asset Management Ventures",257640000.0
UC_370,15,"Andreessen Horowitz, Google Ventures, Section 32",425960000.0
UC_371,17,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners",7100000000.0
UC_372,8,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",4220000000.0
UC_373,16,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital",276350000.0
UC_374,5,"Deer Park Road, Altamont Capital Partners, Eldridge",1900000000.0
UC_375,20,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",717290000.0
UC_376,11,"Sequoia Capital China, Banyan Capital",385120000.0
UC_377,18,"8VC, D1 Capital Partners, Sway Ventures",513929999.99999994
UC_378,18,"Eight Roads Ventures, One Peak Partners, Creandum",581100000.0
UC_379,14,"Plug and Play Ventures, Valor Capital Group, DST Global",3450000000.0
UC_380,15,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",8310000000.0
UC_381,6,"Foundation Capital, Institutional Venture Partners, General Catalyst",3970000000.0
UC_382,9,"Accel, Silversmith Capital Partners, capitalG",214920000.0
UC_383,17,"VY Capital, Accel, Elevation Capital",441240000.0
UC_384,3,"ICONIQ Growth, Bain Capital Ventures, Summit Partners",0.0
UC_385,11,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",3050000000.0
UC_386,13,"GSR Ventures, Sapphire Ventures, Streamlined Ventures",533750000.0
UC_387,24,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera",214100000.0
UC_388,16,"Accel, Passion Capital, Balderton Capital",529320000.00000006
UC_389,1,L Capital Partners,2000000000.0
UC_390,14,"RRE Ventures, Tiger Global, August Capital",1730000000.0
UC_392,13,"Accel Partners, Index Ventures, Insight Venture Partners",564300000.0
UC_393,13,"Zheshang Venture Capital, GP Capital, Western Capital Management",519630000.0
UC_394,10,"Y Combinator, Matrix Partners, Benchmark",2860000000.0
UC_395,7,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",603930000.0
UC_396,11,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",152190000.0
UC_397,24,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",261250000.0
UC_398,39,"Sequoia Capital China, China Construction Bank, Bank of China",9300000000.0
UC_399,28,"Insight Venture Partners, TPG Growth, Sound Ventures",217980000.0
UC_400,3,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",617570000.0
UC_401,13,"Qiming Venture Partners, Capital Today, General Atlantic",4880000000.0
UC_402,16,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",4750000000.0
UC_403,15,"GGV Capital, IDG Capital, Linear Venture",3120000000.0
UC_404,8,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",303100000.0
UC_405,11,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",614490000.0
UC_406,13,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",3550000000.0
UC_407,29,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",953500000.0
UC_408,14,"Blackrock, capitalG, World Lab Innovation",367170000.0
UC_409,15,"Caffeinated Capital, Obvious Ventures, Venrock",376500000.0
UC_410,1,Blackstone,0.0
UC_411,6,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",98500000.0
UC_412,9,"Tiantu Capital, CMB International Capital, Vision Knight Capital",423440000.0
UC_413,15,"Qiming Venture Partners, Kleiner Perkins Caufield & Byers, OrbiMed Advisors",4490000000.0
UC_414,23,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",935010000.0
UC_415,5,"Tomales Bay Capital, Bain & Company, General Catalyst",850000000.0
UC_416,10,"Index Ventures, Creandum, Accel",570990000.0
UC_417,6,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",5500000000.0
UC_418,1,"Sequoia Capital, Google Ventures, Accel",5200000.0
UC_419,13,"Accel, frst, Kima Ventures",497240000.0
UC_420,18,"Matrix Partners China, Sequoia Capital China, Genesis Capital",421180000.0
UC_421,36,"next47, MaC Venture Capital, FinVC",3660000000.0
UC_422,18,"CRV, Blue Cloud Ventures, Index Ventures",342400000.0
UC_423,1,Undisclosed,2280000000.0
UC_424,15,"Alta Ventures Mexico, General Atlantic, SoftBank Group",397360000.0
UC_425,15,"Qualcomm Ventures, SoftBank Group. Monashees+",484320000.0
UC_426,15,"Insight Partners, Tiger Global Management, Gradient Ventures",192270000.0
UC_427,15,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",417250000.0
UC_428,3,"A&NN, Rusnano",50000000.0
UC_429,30,"Tencent Holdings, 5Y Capital, Sequoia Capital China",783810000.0
UC_430,16,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",1127000000.0
UC_431,25,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",6400000000.0
UC_432,13,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",5700000000.0
UC_433,12,"Ignition Partners, Formation 8, CRV",3400000000.0
UC_434,20,"Japan Post Capital, Globis Capital Partners, Atomico",409600000.0
UC_435,9,"Accel, D1 Capita Partners, Greenoaks Capital Management",526500000.0
UC_436,25,"Rethink Impact, Work-Bench, RRE Ventures",296200000.0
UC_437,18,"Northern Light Venture Capital, Xiaomi, FutureX Capital",1150000000.0
UC_438,13,None,5360000000.0
UC_439,5,"Benchmark, Altimeter Capital, Quiet Capital",133120000.0
UC_440,26,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",3484000000.0
UC_441,20,"Northzone Ventures, White Star Capital, Novator Partners",667380000.0
UC_442,14,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",209930000.0
UC_443,11,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",3000000000.0
UC_444,7,"Insight Partners, Warburg Pincus, Ayala Corporation",4750000000.0
UC_445,7,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",314610000.0
UC_446,6,"Gauss Ventures, Ventura Capital, dmg ventures",339200000.0
UC_447,23,"ClalTech, Vertex Ventures, Oryzn Capital",5320000000.0
UC_448,20,"Sequoia Capital, Paradigm, Pantera Capital",167700000.0
UC_450,10,"8VC, Activant Capital, GLP Capital Partners",490100000.0
UC_451,20,"Khosla Ventures, Green Innovations, Founders Fund",322160000.0
UC_452,5,"SoftBank Group, Maverick Capital",3150000000.0
UC_453,7,"Breega Capital, Iris Capital, 360 Capital Partners",446700000.0
UC_454,9,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",4050000000.0
UC_455,15,"DCM Ventures, IDG Capital, Siam Commercial Bank",4550000000.0
UC_456,2,"Blackstone, Bessemer Venture Partners",0.0
UC_457,8,"Trustbridge Partners, Hony Capital, IDG Capital",3900000000.0
UC_458,11,"JTC Group, Qatar Investment Authority, Fidelity Investment",905620000.0
UC_459,12,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",488500000.0
UC_460,9,"FirstMark Capital, Tiger Global Management, ICONIQ Capital",350710000.0
UC_462,31,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures",454130000.0
UC_463,13,"Venrock, CVF Capital Partners, ARCH Venture Partners",294650000.0
UC_464,7,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3000000000.0
UC_465,1,Automobile Industry Guidance Fund,1333000000.0
UC_466,2,"The Carlyle Group, CVC Capital Partners",18580000.0
UC_467,2,Sequoia Capital,18580000.0
UC_468,22,"Insight Venture Partners, Lowercase Capital, Polaris Partners",861690000.0
UC_469,15,"Founders Fund, Khosla Ventures, Goldman Sachs",383020000.0
UC_470,16,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",3000000000.0
UC_471,9,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group",170200000.0
UC_472,16,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",3350000000.0
UC_473,8,"SOSV, Khosla Ventures, Lerer Hippeau",250830000.0
UC_474,10,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",330930000.0
UC_475,12,"Blumberg Capital, American Express Ventures, BDC Venture Capital",469740000.0
UC_476,20,"General Catalyst, Eleation Capital, Avenir Growth Capital",515900000.0
UC_477,15,"YL Ventures, Redpoint Ventures, GGV Capital",6320000000.0
UC_478,6,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",116300000.0
UC_479,25,"Thrive Capital, Tiger Global Management, Temasek",659100000.0
UC_480,10,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",544930000.0
UC_482,9,"Alta Partners, Questa Capital, Echo Health Venturesl",406960000.0
UC_483,15,"Insight Partners, Sequoia Capital, Index Ventures",195300000.0
UC_484,26,"Threshold Ventures, Baseline Ventures, Harrison Metal",312500000.0
UC_486,17,"Eurazeo, IDInvest Partners, Balderton Capital",664450000.0
UC_487,13,"DataTribe, Energy Impact Partners, AllegisCyber Capital",364200000.0
UC_488,9,"Crosslink Capital, .406 Ventures, Sapphire Ventures",240500000.0
UC_489,21,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners",246120000.0
UC_490,19,"Greycroft, Lerer Hippeau, Geekdom Fund",275750000.0
UC_491,24,"Gobi Partners, 500 Startups, Ondine Capital",597350000.0
UC_492,13,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners",261300000.0
UC_493,6,"SoftBank Group, Access Industries, Crossbeam Venture Partners",220650000.0
UC_494,13,"Index Ventures, Temasek, Portag3 Ventures",363170000.0
UC_495,36,"Salesforce Ventures, Seedcamp, OMERS Ventures",924310000.0
UC_496,15,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",2650000000.0
UC_497,15,Carsales,2650000000.0
UC_498,27,"Boxin Capital, DT Capital Partners, IDG Capital",137130000.0
UC_499,15,"Alta Partners, General Catalyst, Jove Equity Partners",2980000000.0
UC_500,19,"Alpha Wave Global, Matrix Partners India, Tiger Global Management",391520000.0
UC_502,20,"Yabeo Capital, SBI Investment, Vulcan Capital",402460000.0
UC_503,6,"TPG Growth, Goldman Sachs",3250000000.0
UC_504,10,GAM Holding,327200000.0
UC_505,5,"People Electrical Appliance Group China, Zhongrong International Trust",968860000.0
UC_506,7,"next47, First Round Capital, Sequoia Capital",139640000.0
UC_507,15,"Sequoia Capital, Bain Capital Ventures, enaya Capital",4960000000.0
UC_508,27,"Mayfield Fund, Shasta Ventures, L Catterton",431400000.0
UC_509,10,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",415790000.0
UC_510,12,"Blackbird Ventures, IndexVentures, Tiger Global Management",222810000.0
UC_511,12,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",222810000.0
UC_512,5,"Technology Crossover Ventures, Accel, Aker",346800000.0
UC_513,13,"March Capital Partners, HOF Capital, Emergence Capital Partners",312570000.0
UC_514,20,"BEENEXT, World Innovation Lab, Light Street Capital",222340000.0
UC_515,39,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",150930000.0
UC_516,19,"Zeev Ventures, Menlo Ventures,Crosslink Capital",539600000.0
UC_517,12,"Initialized Capital, Sound Ventures, TI Platform Management",256060000.0
UC_518,21,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",420160000.0
UC_519,11,"QED Investors, DST Global, Left Lane Capital",336200000.0
UC_520,2,"IFC, Ajinomoto",5560000000.0
UC_521,8,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",224350000.0
UC_522,8,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",185520000.0
UC_523,7,"Sequoia Capital China, Warburg Pincus, IDG Capital",92440000.0
UC_524,15,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",198480000.0
UC_525,11,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",70590000.0
UC_527,8,"Sequoia Capital, General Atlantic",2080000000.0
UC_528,13,"GGV Capital, QiMing Venture Partnersl",763700000.0
UC_529,4,"Warburg Pincus, Aviation Industry Corporation of China",7100000000.0
UC_530,11,"Volkswagen, Access Industries, Vostok New Ventures",1056999999.9999999
UC_531,5,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",260350000.00000003
UC_533,12,"Morningside Ventures, Capital Today, JOY Capital",5000000000.0
UC_534,10,"Legend Capital, CDH Investments, Sequoia Capital China",100120000.0
UC_535,13,"Source Code Capital, Meituan Dianping, Tencent Holdings",547270000.0
UC_536,1,SoftBank Group,502500000.0
UC_537,27,"New Enterprise Associates, Founders Fund, Google Ventures",7140000000.0
UC_538,7,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",179850000.0
UC_539,9,"Norwest Venture Partners, Accel, Tiger Global Management",341680000.0
UC_540,19,"Max Ventures, Mangrove Capital Partners, 14W",2780000000.0
UC_542,31,"Moonshots Capital, BoxGroup, Blu Venture Investors",273070000.0
UC_543,13,"Sequoia Capital, Y Combinator, F-Prime Capital",2500000000.0
UC_544,15,"Deciens Capital, Bezos Expeditions, 500 Startups",302600000.0
UC_545,46,"Digital Currency Group, Draper Esprit, Korelya Capital",466380000.0
UC_546,9,"Amiti Ventures, Playground Global, Aleph",226600000.0
UC_547,10,"Source Code Capital, Coatue Management, DCM Ventures",342370000.0
UC_548,6,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",274150000.0
UC_549,7,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",214550000.0
UC_550,18,"Kaszek Ventures, SOSV, Tiger Global Management",395840000.0
UC_551,12,"Felicis Ventures, Index Ventures, Blackbird Ventures",258300000.0
UC_552,21,"Insight Partners, Coinbase Ventures, PayPal Ventures",235750000.0
UC_553,16,"Global Founders Capital, Shea Ventures, Greycroft",1467000000.0
UC_554,10,"VGames, Lakestar, Galaxy Interactive",126500000.0
UC_555,8,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",310320000.0
UC_556,6,"Coatue Management, Index Ventures, Founders Fund",217500000.0
UC_557,22,"Y Combinator, Andreessen Horowitz, Wonder Ventures",224150000.0
UC_558,3,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",1500000000.0
UC_559,29,"Spark Capital, Google Ventures, CRE Venture Capital",374610000.0
UC_560,22,"Nyca Partners, Index Ventures, Technology Crossover Ventures",268120000.0
UC_561,9,"Insight Partners, Softbank Group, Connect Ventures",1000000000.0
UC_562,10,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",3810000000.0
UC_563,21,"Accomplice, Polychain Capital, GoldenTree Asset Management",169200000.0
UC_564,2,"PSG, ION Crossover Partners",2450000000.0
UC_565,42,"Chiratae Ventures, Accel, Kalaari Capital",679400000.0
UC_566,20,"Fifty Years Fund, Refactor Capital, Temasek",443070000.0
UC_567,13,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",318750000.0
UC_568,14,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",253460000.0
UC_569,14,"Accel, Benchmark, SV Angel",181350000.0
UC_570,14,"Samsung Ventures, SingulariTeam, BP Ventures",2060000000.0
UC_571,5,"L Catterton, Franklin Templeton, First Light Capital Group",290000000.0
UC_572,14,"Index Ventures, Eight Roads Ventures, General Atlantic",300340000.0
UC_573,15,"Accel, Institutional Venture Partners, Tiger Global Management",192320000.0
UC_574,11,"Sequoia Capital, General Catalyst, 	Human Capital",136080000.0
UC_575,9,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",432110000.0
UC_576,12,"General Catalyst, Origin Ventures, Fontinalis Partners",299280000.0
UC_577,5,"Amplify Partners, Addition, Madrona Venture Group",121750000.0
UC_578,11,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",292580000.0
UC_579,4,"Eastern Bell Capital, Capital Today, Longzhu Capital",658490000.0
UC_580,7,"China Grand Prosperity Investment, CSC Group",3610000000.0
UC_581,4,"Baidu, Tencent Holdings",226600000.0
UC_582,7,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",281380000.0
UC_583,18,Taigang Venture Capital,433720000.0
UC_584,1,General Atlantic,3000000000.0
UC_585,5,"Sodexo Ventures, SoftBank Group",3030000000.0
UC_586,7,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital",328170000.0
UC_587,18,"Slow Ventures, Andreessen Horowitz, SoftBank Group",2280000000.0
UC_588,20,"Temasek,	BUILD Capital Partners, 	Northzone Ventures",150820000.0
UC_589,9,"Index Ventures, Thrive Capital, Bain Capital Ventures",1430000000.0
UC_590,18,"Kickstart Fund, General Catalyst, Drive Capital",276070000.0
UC_591,14,"Initialized Capital, Canaan Partners, Sound Ventures",242050000.0
UC_592,24,"Bonfire Ventures, Two Sigma Ventures, FJ Labs",163840000.0
UC_593,15,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",203500000.0
UC_594,8,"Newion Partners, SmartFin Capital, OMERS Ventures",235890000.0
UC_595,34,"March Capital Partners, Temasek, Doha Venture Capital",290880000.0
UC_596,9,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",2640000000.0
UC_597,11,"New Enterprise Associates, Tiger Global management, Tencent",3620000000.0
UC_598,26,"BNP Paribas, Goldman Sachs, Google",4610000000.0
UC_599,2,"Phoenix New Media, Tianjin Haihe Industry Fund",150000000.0
UC_600,22,"Seaya Ventures, Otter Rock Capital, Rakuten",481470000.0
UC_601,16,"Eastern Bell Capital, SF Holding Co, STO Express",1240000000.0
UC_602,11,"Orange Digital Ventures, Access Industries",481800000.0
UC_603,11,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",181100000.0
UC_604,17,"New Enterprise Associates, CRV, Index Ventures",170500000.0
UC_605,9,"EQT Partners, Blackstone",476140000.0
UC_606,20,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",4360000000.0
UC_607,18,"Sequoia Capital India, Lightbox Ventures, Coatue Management",495210000.0
UC_609,7,"Sequoia Capital India, Tiger Global Management, Tencent",459780000.0
UC_610,13,"Goodwater Capital, Entree Capital, Valar Ventures",439250000.0
UC_611,13,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",163020000.0
UC_612,13,"Helion Venture Partners, Tiger Global management, CRV",163020000.0
UC_613,14,"Signal Peak Ventures, Owl Ventures, Jump Capital",385920000.0
UC_614,26,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",358070000.0
UC_615,10,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures",314280000.0
UC_616,18,"Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners",437100000.0
UC_617,8,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners",140380000.0
UC_618,14,"Y Combinator, S Capital, Tenaya Capital",270740000.0
UC_619,5,"Lightspeed Venture Partners, Access Industries, Eldridge",2020000000.0
UC_621,16,"Propel Venture Partners, Monashees+, BBVA",720420000.0
UC_622,10,"DESUN Capital, Yunfeng Capital, Meridian Capital",79280000.0
UC_623,14,"Sequoia Capital China, Goldman Sachs, Matrix Partners China",721190000.0
UC_624,15,"Green Pine Capital Partners, Ivy Capital, DCM Ventures",497190000.0
UC_625,11,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",2920000000.0
UC_626,12,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures",155920000.0
UC_627,18,"8VC, Bedrock Capital, Broom Ventures",287390000.0
UC_628,19,"Menlo Ventures, Resolute Ventures, IA Ventures",411200000.0
UC_629,10,"Marchmont Ventures, BMW i Ventures, Index Ventures",274590000.0
UC_630,14,"Atinum Investment, Company K Partners, GIC",331230000.0
UC_631,19,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",210500000.0
UC_632,21,"MHS Capital, NextView Ventures, Mayfield Fund",453010000.0
UC_633,1,Goldman Sachs,66160000.0
UC_634,17,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.",361440000.0
UC_635,33,"SC.Holdings, Not Boring Capital, Bolt Ventures",1150000000.0
UC_636,15,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures",339110000.0
UC_637,4,"ARCH Venture Partners, Ally Bridge Group",94400000.0
UC_638,12,"BlueCross BlueShield Venture Partners, US Venture Partners",542410000.0
UC_639,10,None,1012999999.9999999
UC_641,11,"York Capital Management, GE Healthcare, Koch Disruptive Technologies",559050000.0
UC_642,18,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",230550000.0
UC_643,6,"Coatue Management, H Capital, Capital Today",11540000.0
UC_644,7,"N5 Capital, CR Capital Mgmt, JD Digits",3100000000.0
UC_645,3,"Insight Partners, Silversmith Capital Partners, Spotify",0.0
UC_646,16,"Kaszek Ventures, QED Investors, International Finance Corporation",824590000.0
UC_647,20,"Bessemer Venture Partners, Menlo Ventures, Anthermis",4350000000.0
UC_648,9,"SignalFire, GLP Capital Partners, Google Ventures",399700000.0
UC_649,10,"Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures",2900000000.0
UC_650,13,"Liberty City Ventures, Soros Fund Management, Summer Capital",207300000.0
UC_651,15,"LocalGlobe, Kinnevik, Felix Capital",408580000.0
UC_652,2,"Left Lane Capital, Walden Venture Capital",1250000000.0
UC_653,2,"Zeev Ventures, GSV Ventures",2000000000.0
UC_654,17,"Initialized Capital, General Catalyst, Kraken Ventures",101620000.0
UC_655,10,"Chromo Invest, Maersk Growth, BlackRock",345200000.0
UC_656,9,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",171050000.0
UC_657,7,"Social Capital, Bessemer Venture Partners",1630000000.0
UC_658,20,"FirstMark Capital, Tiger Global Management",240250000.0
UC_659,2,"Mitsubishi Corporation, Mayfair Equity Partners",2560000000.0
UC_660,15,"IDG Capital, Gaocheng Capital, Chuanrong Capital",227340000.0
UC_662,19,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners",246100000.0
UC_663,14,"Sequoia Capital China, CMC Capital Partners, Tencent Holdings",5950000000.0
UC_664,6,"Passion Capital, Hedosophia, 	Outrun Ventures",116200000.0
UC_665,53,"Andreessen Horowitz, Prosus Ventures, Thrive Capital",622120000.0
UC_666,31,"Javelin Venture Partners, Struck Capital, Alumni Ventures Group",2600000000.0
UC_667,12,"Dila Capital, Framework Ventures, 3L",2550000000.0
UC_668,4,"Andreessen Horowitz, Bessemer Venture Partners, Coatue Management",155900000.0
UC_669,6,"Tencent Holdings, Tiger Global Management, Global Founders Capital",156340000.0
UC_670,11,"Madrona Venture Group, Banner Ventures, FJ Labs",2470000000.0
UC_671,8,"Sequoia Capital, Y Combinator, Accel",159120000.0
UC_672,4,"TSG Consumer Partners, Crowdcube",296770000.0
UC_673,18,"Tencent Holdings, Delta Capital, Redpoint Ventures China",470520000.0
UC_674,8,"Nextech Invest, Casdin Capital, Google Ventures",7000000000.0
UC_675,4,"Trane Technologies, Honeywell",101970000.0
UC_676,12,"Shunwei Capital Partners, 5Y Capital, Legend Capital",0.0
UC_677,22,"Cool Japan Fund, JAFCO, The Carlyle Group",911620000.0
UC_678,9,"Wamda Capital, Endeavor, Riverwood Capital",166200000.0
UC_679,12,"Alibaba Group, KKR, Goldman Sachs",8000000000.0
UC_681,16,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",267399999.99999997
UC_682,3,ICG,11300000.0
UC_683,12,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",345500000.0
UC_684,15,"Georgian Partners, Silver Lake, Presidio Ventures",263899999.99999997
